"","account_active_days","koen","permission_given_order","previous_subscriptions","previous_campaigns","previous_trials","newsletters_before_order","newsletters_after_order","age","aktivitet_midt_10","aktivitet_slut_10","aktivitet_start_10","avg_scroll_depth","forskellige_artikler","restricted_share","andet","debat","erhverv","indland","international","kultur","livsstil","politik","sport","udland","churn_binary"
"814",540,"Mand","FALSE",5,3,1,0,0,54,71,131,112,0.38719512195122,136,0.25,209,18,11,15,56,6,3,6,4,0,"No"
"815",815,"Mand","TRUE",1,0,0,0,0,49,66,69,82,0.724444444444445,172,0.511111111111111,54,16,25,30,70,11,2,17,0,0,"Yes"
"816",208,"Mand","FALSE",0,0,0,0,0,70,91,99,64,0.50561797752809,161,0.378277153558053,103,17,24,27,84,5,3,3,1,0,"Yes"
"817",343,"Mand","FALSE",1,1,0,0,0,54,143,130,100,0.356955380577428,167,0.278215223097113,221,28,21,40,48,9,4,8,1,1,"No"
"818",61,"Kvinde","FALSE",0,0,0,0,0,66,0,0,3,0.666666666666667,1,0,1,0,0,0,0,0,2,0,0,0,"No"
"819",293,"Kvinde","FALSE",2,2,0,0,0,62,204,193,165,0.357019064124783,245,0.2842287694974,330,21,43,35,121,8,7,10,2,0,"No"
"820",1952,"Mand","FALSE",12,8,4,1,0,40,198,153,210,0.529109589041096,310,0.400684931506849,239,72,34,107,72,16,14,30,0,0,"Yes"
"821",275,"Mand","FALSE",0,0,0,0,0,33,0,0,2,0.5,1,0.5,0,0,0,0,0,2,0,0,0,0,"Yes"
"822",530,"Mand","FALSE",1,1,0,1,1,68,11,1,13,0.56,15,0.6,8,3,1,1,8,4,0,0,0,0,"Yes"
"823",1147,"Mand","TRUE",15,12,4,2,1,69,245,260,337,0.311791383219955,360,0.256235827664399,520,18,56,95,67,35,4,18,68,1,"Yes"
"824",92,"Mand","FALSE",0,0,0,0,0,39,0,42,12,0.381944444444444,40,0.347222222222222,31,2,2,10,21,2,0,4,0,0,"Yes"
"825",1680,"Mand","TRUE",5,0,2,0,0,64,14,17,28,0.165254237288136,11,0.186440677966102,25,0,1,3,0,0,0,0,30,0,"Yes"
"826",1047,"Mand","FALSE",2,1,1,0,0,50,122,113,112,0.299586776859504,187,0.363636363636364,190,16,29,41,66,13,4,4,0,0,"Yes"
"827",307,"Kvinde","FALSE",0,0,0,0,0,66,14,11,23,0.175,10,0.12,39,0,2,0,7,2,0,0,0,0,"Yes"
"828",225,"Kvinde","TRUE",0,0,0,0,1,74,218,128,288,0.267281105990783,264,0.298003072196621,362,17,51,96,76,21,5,18,5,0,"No"
"829",403,"Mand","TRUE",3,2,0,0,0,62,213,181,119,0.30448717948718,192,0.250915750915751,356,10,13,36,54,35,4,25,13,0,"No"
"830",419,"Mand","TRUE",5,1,5,5,5,81,14,25,18,0.415254237288136,44,0.355932203389831,21,5,8,7,8,6,1,2,1,0,"Yes"
"831",616,"Mand","TRUE",8,3,4,3,3,85,25,21,26,0.555555555555556,57,0.513888888888889,7,1,3,16,32,6,0,7,0,0,"No"
"832",1364,"Mand","TRUE",10,8,4,1,1,65,162,159,145,0.308008213552361,168,0.268993839835729,364,4,28,39,26,16,6,3,1,0,"No"
"833",94,"Mand","FALSE",0,0,0,0,0,26,11,10,10,0.264705882352941,12,0.323529411764706,32,0,1,0,0,1,0,0,0,0,"No"
"834",126,"Mand","TRUE",0,0,0,0,0,35,0,0,2,1,1,0.5,0,0,0,2,0,0,0,0,0,0,"Yes"
"835",871,"Mand","FALSE",10,5,6,1,1,62,24,25,42,0.426630434782609,47,0.369565217391304,38,0,5,10,25,7,1,4,2,0,"Yes"
"836",418,"Mand","FALSE",6,1,5,0,0,50,128,43,80,0.281872509960159,121,0.326693227091634,143,2,18,40,23,11,7,4,3,0,"Yes"
"837",122,"Mand","FALSE",0,0,0,0,0,53,79,74,60,0.306338028169014,94,0.31924882629108,123,7,19,17,40,3,1,2,1,0,"Yes"
"838",1330,"Kvinde","FALSE",15,13,1,0,0,68,205,183,196,0.417910447761194,296,0.320066334991708,322,9,41,110,38,41,16,17,9,0,"No"
"839",450,"Kvinde","TRUE",5,3,3,0,0,77,0,0,4,0.75,3,0.25,1,0,1,0,1,0,1,0,0,0,"Yes"
"840",92,"Mand","FALSE",0,0,0,0,0,69,77,51,61,0.524038461538461,118,0.360576923076923,84,4,18,37,49,7,6,3,0,0,"Yes"
"841",886,"Mand","TRUE",7,3,4,2,2,64,157,114,145,0.297235023041475,192,0.292626728110599,272,11,31,34,63,9,1,10,3,0,"No"
"842",628,"Kvinde","FALSE",3,3,0,0,0,64,261,225,226,0.316532258064516,345,0.315860215053763,392,65,51,86,98,11,12,29,0,0,"No"
"843",625,"Mand","TRUE",7,2,5,0,0,53,10,10,4,0.677083333333333,24,0.666666666666667,4,2,5,3,6,2,1,1,0,0,"Yes"
"844",703,"Kvinde","TRUE",9,2,7,1,2,0,29,45,50,0.470703125,80,0.3515625,61,0,4,23,20,6,11,3,0,0,"Yes"
"845",1251,"Mand","FALSE",4,3,1,2,2,51,76,91,95,0.433768656716418,150,0.361940298507463,134,9,30,34,43,8,3,6,1,0,"Yes"
"846",417,"Kvinde","FALSE",5,1,3,4,4,78,1,0,1,0.25,1,0.5,1,0,1,0,0,0,0,0,0,0,"No"
"847",1667,"Mand","FALSE",3,1,1,5,5,51,116,137,148,0.247641509433962,182,0.306603773584906,249,6,30,37,52,21,10,11,8,0,"No"
"848",630,"Mand","FALSE",6,2,2,0,0,25,221,150,148,0.29820415879017,201,0.262759924385633,362,15,27,42,61,6,8,8,0,0,"No"
"849",92,"Kvinde","FALSE",0,0,0,0,0,25,1,1,4,0.75,5,0.333333333333333,2,0,0,4,0,0,0,0,0,0,"Yes"
"850",153,"Kvinde","FALSE",0,0,0,0,0,31,0,0,20,0.2,9,0.35,10,1,4,0,1,1,1,2,0,0,"Yes"
"851",61,"Kvinde","FALSE",0,0,0,0,0,65,0,5,10,0.566666666666667,10,0.266666666666667,6,0,0,0,4,3,1,1,0,0,"No"
"852",703,"Kvinde","FALSE",5,4,0,1,1,60,2,9,5,0.265625,10,0.3125,6,0,0,3,3,3,0,1,0,0,"Yes"
"853",61,"Mand","FALSE",0,0,0,0,0,66,0,0,5,1,4,0.4,0,2,3,0,0,0,0,0,0,0,"No"
"854",153,"Kvinde","FALSE",0,0,0,0,0,65,0,9,2,0.25,3,0.181818181818182,8,0,0,1,2,0,0,0,0,0,"Yes"
"855",1768,"Mand","TRUE",10,4,3,0,0,59,340,332,365,0.272748375116063,364,0.258124419684308,711,31,35,99,141,15,8,29,8,0,"No"
"856",985,"Mand","FALSE",9,5,4,0,0,71,65,50,100,0.375,97,0.328947368421052,119,4,30,28,31,3,2,11,0,0,"Yes"
"857",184,"Mand","FALSE",0,0,0,0,0,48,49,57,70,0.342741935483871,85,0.279569892473118,99,7,11,10,29,7,1,16,6,0,"Yes"
"858",962,"Mand","TRUE",34,10,26,10,10,74,50,24,28,0.448529411764706,67,0.5,22,10,21,13,23,3,1,3,5,1,"Yes"
"859",61,"Kvinde","FALSE",0,0,0,0,0,45,3,0,14,0.558823529411765,2,0.470588235294118,1,16,0,0,0,0,0,0,0,0,"No"
"860",142,"Mand","FALSE",0,0,0,0,0,56,173,81,124,0.281084656084656,158,0.293650793650794,224,8,22,39,52,8,2,21,2,0,"No"
"861",215,"Mand","FALSE",1,1,0,0,0,72,171,156,251,0.23595041322314,219,0.24297520661157,413,9,35,44,71,15,9,3,6,0,"No"
"862",215,"Kvinde","FALSE",1,1,0,1,1,60,7,8,28,0.77906976744186,39,0.744186046511628,3,0,3,13,5,12,1,6,0,0,"No"
"863",152,"Mand","TRUE",4,3,3,1,1,75,0,0,3,0.5,2,0.666666666666667,1,0,0,1,1,0,0,0,0,0,"No"
"864",275,"Kvinde","FALSE",0,0,0,0,0,54,14,0,36,0.24,17,0.28,32,1,2,8,6,1,0,0,0,0,"Yes"
"865",92,"Mand","FALSE",0,0,0,0,0,25,1,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,"Yes"
"866",352,"Mand","FALSE",0,0,0,0,0,53,67,69,54,0.412371134020619,99,0.345360824742268,96,6,13,35,19,5,13,6,1,0,"Yes"
"867",371,"Kvinde","TRUE",0,0,0,3,3,67,51,59,63,0.445530726256983,95,0.379888268156425,83,9,15,20,24,6,13,9,0,0,"Yes"
"868",243,"Mand","FALSE",0,0,0,0,0,51,3,0,4,0.678571428571429,5,0.142857142857143,2,0,0,3,2,0,0,0,0,0,"Yes"
"869",61,"Kvinde","FALSE",0,0,0,0,0,77,7,5,21,0.628787878787879,21,0.363636363636364,16,0,0,8,3,5,0,1,0,0,"No"
"870",1225,"Mand","FALSE",5,3,2,2,2,58,137,176,109,0.310483870967742,176,0.269585253456221,223,21,13,37,102,4,4,13,17,0,"Yes"
"871",92,"Mand","FALSE",1,1,0,0,0,58,20,13,35,0.444852941176471,52,0.588235294117647,33,0,6,13,3,7,1,4,1,0,"No"
"872",144,"Kvinde","TRUE",0,0,0,0,0,35,0,0,3,0.416666666666667,1,0.666666666666667,0,0,0,3,0,0,0,0,0,0,"Yes"
"873",426,"Mand","TRUE",4,4,3,4,4,82,12,4,33,0.331632653061224,33,0.489795918367347,17,3,5,9,8,2,1,4,0,0,"Yes"
"874",644,"Kvinde","TRUE",14,3,11,0,0,51,8,1,11,0.684782608695652,22,0.565217391304348,0,3,1,6,12,1,0,0,0,0,"Yes"
"875",844,"Mand","FALSE",2,2,0,2,2,67,14,24,23,0.754032258064516,57,0.483870967741935,3,2,5,13,10,1,0,28,0,0,"Yes"
"876",616,"Mand","TRUE",8,3,6,1,1,77,5,0,4,0.5,6,0.222222222222222,1,0,0,3,4,1,0,0,0,0,"Yes"
"877",92,"Kvinde","FALSE",0,0,0,0,0,56,0,0,4,0.25,1,0.25,2,0,0,2,0,0,0,0,0,0,"Yes"
"878",275,"Mand","FALSE",0,0,0,3,3,82,5,20,21,0.702127659574468,39,0.48936170212766,3,2,8,8,24,0,0,2,0,0,"Yes"
"879",1387,"Mand","FALSE",7,6,0,0,0,46,348,271,333,0.358066184074457,433,0.293691830403309,528,14,91,98,173,27,5,29,2,0,"Yes"
"880",275,"Mand","FALSE",0,0,0,0,0,50,4,3,9,0.1875,12,0.375,1,0,0,5,7,0,0,2,1,0,"Yes"
"881",92,"Mand","FALSE",0,0,0,0,0,78,71,102,145,0.432803468208092,208,0.375722543352601,84,39,26,42,57,17,11,13,56,1,"Yes"
"882",1642,"Mand","FALSE",5,3,1,4,4,69,2,2,10,0.196428571428571,5,0.285714285714286,10,1,0,0,2,0,0,1,0,0,"Yes"
"883",206,"Mand","FALSE",5,4,4,2,2,57,25,34,30,0.446629213483146,53,0.651685393258427,3,6,5,12,38,15,3,5,2,0,"No"
"884",214,"Mand","FALSE",0,0,0,0,0,46,19,57,77,0.292483660130719,67,0.215686274509804,91,1,10,9,29,2,2,3,6,0,"Yes"
